trial_id,trajectory_name,axis,k_index,n_samples,n_raw_samples,n_removed_samples,valid_fraction,passes_valid_fraction_threshold,duration_s,mean_eul_err_norm_deg,rms_eul_err_norm_deg,max_eul_err_norm_deg,median_eul_err_norm_deg,p95_eul_err_norm_deg,mean_error_angle_so3_deg,rms_error_angle_so3_deg,max_error_angle_so3_deg,mean_abs_roll_err_deg,mean_abs_pitch_err_deg,mean_abs_yaw_err_deg,rms_roll_err_deg,rms_pitch_err_deg,rms_yaw_err_deg,dominant_error_component,mean_eul_err_azimuth_deg,mean_eul_err_elevation_deg,n_direction_samples,relative_csv_path,relative_mat_path,source_muse_file,source_robot_file
muse_y_k001_t1,t1,y,1,6836,6836,0,1,1,54.68,1.0222632177696,1.12835324191527,2.12886998675726,0.978088815467871,1.76731877036922,1.02285496183272,1.12926582517344,2.13285190096877,0.515220840424669,0.532992190726663,0.571467588682923,0.609834144826923,0.60699016070983,0.729963217666043,yaw_z,-119.297431464248,-26.916929358889,6763,trajectories/t1/y/aligned_quaternions.csv,trajectories/t1/y/aligned_quaternions.mat,t1_wst.txt,t1_wst.mat
muse_y_k002_t2,t2,y,2,6992,6992,0,1,1,55.928,2.17259817756932,2.38260080273923,3.91298771047013,2.23856916749312,3.6205518709519,2.17260708094794,2.38243892538773,3.91502162883416,1.29295451028849,0.382410913611517,1.45005610630474,1.52723437108247,0.439124302550712,1.7752497311385,yaw_z,-145.83473034437,9.94174558938269,6990,trajectories/t2/y/aligned_quaternions.csv,trajectories/t2/y/aligned_quaternions.mat,t2_wst.txt,t2_wst.mat
muse_y_k003_t3_f1_a1,t3_f1_A1,y,3,2418,2418,0,1,1,19.336,1.42976438420168,1.60921167590862,2.76389116314157,1.40104506037547,2.61247753190631,1.42952601823218,1.60900043056746,2.76431262599399,1.35371060193983,0.316706357099497,0.126646487429404,1.56710509535035,0.334335915183867,0.148200316550831,roll_x,-160.635059012015,7.38986436071389,2417,trajectories/t3_f1_a1/y/aligned_quaternions.csv,trajectories/t3_f1_a1/y/aligned_quaternions.mat,t3_f1_A1_wst.txt,t3_f1_A1_wst.mat
muse_y_k004_t3_f1_a2,t3_f1_A2,y,4,2420,2420,0,1,1,19.352,1.44237577786348,1.63058602307914,3.17070084033908,1.38336076059079,2.67976069369248,1.44236312824472,1.63058754837897,3.17096694604889,1.39213011267044,0.117046550316835,0.178328734792582,1.59167002960144,0.217925351322236,0.27911617076172,roll_x,-178.604284371006,-5.25121413562351,2419,trajectories/t3_f1_a2/y/aligned_quaternions.csv,trajectories/t3_f1_a2/y/aligned_quaternions.mat,t3_f1_A2_wst.txt,t3_f1_A2_wst.mat
muse_y_k005_t3_f1_a3,t3_f1_A3,y,5,2427,2427,0,1,1,19.408,1.58816134543354,1.762124788359,4.7303260586909,1.42784209521028,2.86512320110164,1.58777177744047,1.76178080385389,4.73309915689821,1.44258030007421,0.261419528262927,0.307680559433685,1.65567655869452,0.451998689078194,0.399394651704697,roll_x,165.90622488133,-10.1651808685958,2426,trajectories/t3_f1_a3/y/aligned_quaternions.csv,trajectories/t3_f1_a3/y/aligned_quaternions.mat,t3_f1_A3_wst.txt,t3_f1_A3_wst.mat
muse_y_k006_t3_f2_a1,t3_f2_A1,y,6,990,990,0,1,1,7.912,5.53149907700671,6.13379174413408,9.33856382851366,6.03363094953645,8.81832815100415,5.53124060934851,6.1335155340547,9.33836390728231,0.610909605415081,5.45017678746213,0.162355687995984,0.702120447498063,6.09026740736741,0.197663715362108,pitch_y,-179.45238996104,-2.30068796058691,978,trajectories/t3_f2_a1/y/aligned_quaternions.csv,trajectories/t3_f2_a1/y/aligned_quaternions.mat,t3_f2_A1_wst.txt,t3_f2_A1_wst.mat
muse_y_k007_t3_f2_a2,t3_f2_A2,y,7,946,946,0,1,1,7.56,1.17995163785775,1.29078063579204,4.54706167997009,1.14418506484038,2.62846351045227,1.17933572831587,1.29012899964403,4.55034833739542,0.731500210378519,0.512660577474152,0.501665715329903,0.817360324538059,0.730317258080979,0.681669606301926,roll_x,152.116109652623,-25.1636114848075,943,trajectories/t3_f2_a2/y/aligned_quaternions.csv,trajectories/t3_f2_a2/y/aligned_quaternions.mat,t3_f2_A2_wst.txt,t3_f2_A2_wst.mat
muse_y_k008_t3_f2_a3,t3_f2_A3,y,8,915,915,0,1,1,7.312,1.77518057682722,1.89198894160161,3.04472568824006,1.7680534117553,2.84392629944672,1.77144591437207,1.88753374978355,3.03231294771166,0.488750134416439,1.20207927396549,1.15334081498535,0.60381830523294,1.31011660881829,1.22418139207672,pitch_y,110.409883215869,-42.0712314280621,908,trajectories/t3_f2_a3/y/aligned_quaternions.csv,trajectories/t3_f2_a3/y/aligned_quaternions.mat,t3_f2_A3_wst.txt,t3_f2_A3_wst.mat
muse_y_k009_t3_f3_a1,t3_f3_A1,y,9,435,435,0,1,1,3.472,1.46933950999243,1.68201354137011,3.60775881519403,1.28211123961921,2.96246542208088,1.46980220445006,1.68266011631495,3.610533510883,0.144061368839616,1.0048024547427,0.951292113469104,0.180140078948922,1.25418981130642,1.10622195897743,pitch_y,-121.716146863806,-42.6723878565377,424,trajectories/t3_f3_a1/y/aligned_quaternions.csv,trajectories/t3_f3_a1/y/aligned_quaternions.mat,t3_f3_A1_wst.txt,t3_f3_A1_wst.mat
muse_y_k010_t3_f3_a2,t3_f3_A2,y,10,451,451,0,1,1,3.6,2.69120728886163,2.7399153364201,6.49526909158232,2.64268224324662,3.37974669580824,2.68940704007063,2.73794350039017,6.49503432248358,0.469692093124235,1.05350529658551,2.31320670577581,0.525748145459993,1.31265346808629,2.34684166722352,yaw_z,137.521347332602,-62.9389715196353,449,trajectories/t3_f3_a2/y/aligned_quaternions.csv,trajectories/t3_f3_a2/y/aligned_quaternions.mat,t3_f3_A2_wst.txt,t3_f3_A2_wst.mat
muse_y_k011_t3_f3_a3,t3_f3_A3,y,11,493,493,0,1,1,3.936,11.1285148091127,12.3583101269945,19.2434760906085,12.4983744265347,17.6702499434209,11.1270726563582,12.3566056241423,19.2347224678235,0.529827816840771,11.028240962011,0.902885010207868,0.58225818910252,12.3051242431611,0.986266676192577,pitch_y,179.644525194542,-7.75522342699522,489,trajectories/t3_f3_a3/y/aligned_quaternions.csv,trajectories/t3_f3_a3/y/aligned_quaternions.mat,t3_f3_A3_wst.txt,t3_f3_A3_wst.mat
muse_y_k012_t4_10,t4_10,y,12,17922,17922,0,1,1,143.368,5.08381878307955,5.0984525579083,10.3588496692326,5.03947304475635,5.57362042319539,5.0816740711688,5.09616070144448,10.3584595504201,0.479431465820402,5.00501420251512,0.478612030892659,0.6172605470294,5.01703998412629,0.665220038784641,pitch_y,94.1349910800415,-5.21548233680323,17919,trajectories/t4_10/y/aligned_quaternions.csv,trajectories/t4_10/y/aligned_quaternions.mat,t4_10_wst.txt,t4_10_wst.mat
muse_y_k013_t4_110,t4_110,y,13,1486,1486,0,1,1,11.88,2.23644297756723,2.38077758630391,4.90481686666106,2.30012064972735,3.43249071796343,2.23600302339436,2.38024610418747,4.90266325645359,0.390947393111189,2.15126103296289,0.376381013083326,0.462898412934888,2.29220954678139,0.446768808662492,pitch_y,92.3767559002175,-2.61927827307031,1464,trajectories/t4_110/y/aligned_quaternions.csv,trajectories/t4_110/y/aligned_quaternions.mat,t4_110_wst.txt,t4_110_wst.mat
