trial_id,trajectory_name,axis,k_index,relative_csv_path,relative_mat_path,n_samples,n_raw_samples,n_removed_samples,valid_fraction,duration_s,sample_rate_hz,source_muse_file,source_robot_file,valid,notes
muse_y_k025_t7z_a1_w1,t7z_a1_w1,y,25,trajectories/t7z_a1_w1/y/aligned_quaternions.csv,trajectories/t7z_a1_w1/y/aligned_quaternions.mat,2563,2563,0,1,20.496,125,t7z_a1_w1_wst.txt,t7z_a1_w1_wst.mat,1,ok
muse_y_k026_t7z_a1_w3,t7z_a1_w3,y,26,trajectories/t7z_a1_w3/y/aligned_quaternions.csv,trajectories/t7z_a1_w3/y/aligned_quaternions.mat,2609,2609,0,1,20.864,125,t7z_a1_w3_wst.txt,t7z_a1_w3_wst.mat,1,ok
muse_y_k027_t7z_a3_w1,t7z_a3_w1,y,27,trajectories/t7z_a3_w1/y/aligned_quaternions.csv,trajectories/t7z_a3_w1/y/aligned_quaternions.mat,1645,1645,0,1,13.152,125,t7z_a3_w1_wst.txt,t7z_a3_w1_wst.mat,1,ok
muse_y_k028_t7z_a3_w3,t7z_a3_w3,y,28,trajectories/t7z_a3_w3/y/aligned_quaternions.csv,trajectories/t7z_a3_w3/y/aligned_quaternions.mat,1657,1657,0,1,13.248,125,t7z_a3_w3_wst.txt,t7z_a3_w3_wst.mat,1,ok
muse_z_k001_t1,t1,z,1,trajectories/t1/z/aligned_quaternions.csv,trajectories/t1/z/aligned_quaternions.mat,6752,6752,0,1,54.008,125,t1_wst.txt,t1_wst.mat,1,ok
muse_z_k002_t2,t2,z,2,trajectories/t2/z/aligned_quaternions.csv,trajectories/t2/z/aligned_quaternions.mat,6970,6970,0,1,55.752,125,t2_wst.txt,t2_wst.mat,1,ok
muse_z_k003_t3_f1_a1,t3_f1_A1,z,3,trajectories/t3_f1_a1/z/aligned_quaternions.csv,trajectories/t3_f1_a1/z/aligned_quaternions.mat,1954,1954,0,1,15.624,125,t3_f1_A1_wst.txt,t3_f1_A1_wst.mat,1,ok
muse_z_k004_t3_f1_a2,t3_f1_A2,z,4,trajectories/t3_f1_a2/z/aligned_quaternions.csv,trajectories/t3_f1_a2/z/aligned_quaternions.mat,2393,2393,0,1,19.136,125,t3_f1_A2_wst.txt,t3_f1_A2_wst.mat,1,ok
muse_z_k005_t3_f1_a3,t3_f1_A3,z,5,trajectories/t3_f1_a3/z/aligned_quaternions.csv,trajectories/t3_f1_a3/z/aligned_quaternions.mat,1961,1961,0,1,15.68,125,t3_f1_A3_wst.txt,t3_f1_A3_wst.mat,1,ok
muse_z_k006_t3_f2_a1,t3_f2_A1,z,6,trajectories/t3_f2_a1/z/aligned_quaternions.csv,trajectories/t3_f2_a1/z/aligned_quaternions.mat,990,990,0,1,7.912,125,t3_f2_A1_wst.txt,t3_f2_A1_wst.mat,1,ok
muse_z_k007_t3_f2_a2,t3_f2_A2,z,7,trajectories/t3_f2_a2/z/aligned_quaternions.csv,trajectories/t3_f2_a2/z/aligned_quaternions.mat,911,911,0,1,7.28,125,t3_f2_A2_wst.txt,t3_f2_A2_wst.mat,1,ok
muse_z_k008_t3_f2_a3,t3_f2_A3,z,8,trajectories/t3_f2_a3/z/aligned_quaternions.csv,trajectories/t3_f2_a3/z/aligned_quaternions.mat,990,990,0,1,7.912,125,t3_f2_A3_wst.txt,t3_f2_A3_wst.mat,1,ok
muse_z_k009_t3_f3_a1,t3_f3_A1,z,9,trajectories/t3_f3_a1/z/aligned_quaternions.csv,trajectories/t3_f3_a1/z/aligned_quaternions.mat,410,410,0,1,3.272,125,t3_f3_A1_wst.txt,t3_f3_A1_wst.mat,1,ok
muse_z_k010_t3_f3_a2,t3_f3_A2,z,10,trajectories/t3_f3_a2/z/aligned_quaternions.csv,trajectories/t3_f3_a2/z/aligned_quaternions.mat,438,438,0,1,3.496,125,t3_f3_A2_wst.txt,t3_f3_A2_wst.mat,1,ok
muse_z_k011_t3_f3_a3,t3_f3_A3,z,11,trajectories/t3_f3_a3/z/aligned_quaternions.csv,trajectories/t3_f3_a3/z/aligned_quaternions.mat,393,393,0,1,3.136,125,t3_f3_A3_wst.txt,t3_f3_A3_wst.mat,1,ok
muse_z_k012_t4_10,t4_10,z,12,trajectories/t4_10/z/aligned_quaternions.csv,trajectories/t4_10/z/aligned_quaternions.mat,17556,17556,0,1,140.44,125,t4_10_wst.txt,t4_10_wst.mat,1,ok
muse_z_k013_t4_110,t4_110,z,13,trajectories/t4_110/z/aligned_quaternions.csv,trajectories/t4_110/z/aligned_quaternions.mat,1477,1477,0,1,11.808,125,t4_110_wst.txt,t4_110_wst.mat,1,ok
muse_z_k014_t4_130,t4_130,z,14,trajectories/t4_130/z/aligned_quaternions.csv,trajectories/t4_130/z/aligned_quaternions.mat,1244,1244,0,1,9.944,125,t4_130_wst.txt,t4_130_wst.mat,1,ok
muse_z_k015_t4_150,t4_150,z,15,,,0,0,0,0,NaN,125,t4_150_wst.txt,t4_150_wst.mat,0,No valid samples after NaN/Inf and quaternion-norm filtering. Raw samples=1069.
muse_z_k016_t4_30,t4_30,z,16,trajectories/t4_30/z/aligned_quaternions.csv,trajectories/t4_30/z/aligned_quaternions.mat,2153,5730,3577,0.375741710296684,17.216,125,t4_30_wst.txt,t4_30_wst.mat,0,questionable: valid_fraction 0.3757 below threshold 0.9500; 3577/5730 raw samples removed
muse_z_k017_t4_50,t4_50,z,17,trajectories/t4_50/z/aligned_quaternions.csv,trajectories/t4_50/z/aligned_quaternions.mat,3341,3341,0,1,26.72,125,t4_50_wst.txt,t4_50_wst.mat,1,ok
muse_z_k018_t4_70,t4_70,z,18,trajectories/t4_70/z/aligned_quaternions.csv,trajectories/t4_70/z/aligned_quaternions.mat,2321,2321,0,1,18.56,125,t4_70_wst.txt,t4_70_wst.mat,1,ok
muse_z_k019_t4_90,t4_90,z,19,trajectories/t4_90/z/aligned_quaternions.csv,trajectories/t4_90/z/aligned_quaternions.mat,1810,1810,0,1,14.472,125,t4_90_wst.txt,t4_90_wst.mat,1,ok
muse_z_k020_t5,t5,z,20,trajectories/t5/z/aligned_quaternions.csv,trajectories/t5/z/aligned_quaternions.mat,3383,3383,0,1,27.056,125,t5_wst.txt,t5_wst.mat,1,ok
muse_z_k021_t7x_a1_w1,t7x_a1_w1,z,21,trajectories/t7x_a1_w1/z/aligned_quaternions.csv,trajectories/t7x_a1_w1/z/aligned_quaternions.mat,2616,2616,0,1,20.92,125,t7x_a1_w1_wst.txt,t7x_a1_w1_wst.mat,1,ok
muse_z_k022_t7x_a1_w3,t7x_a1_w3,z,22,trajectories/t7x_a1_w3/z/aligned_quaternions.csv,trajectories/t7x_a1_w3/z/aligned_quaternions.mat,2608,2608,0,1,20.856,125,t7x_a1_w3_wst.txt,t7x_a1_w3_wst.mat,1,ok
muse_z_k023_t7x_a3_w1,t7x_a3_w1,z,23,trajectories/t7x_a3_w1/z/aligned_quaternions.csv,trajectories/t7x_a3_w1/z/aligned_quaternions.mat,1688,1688,0,1,13.496,125,t7x_a3_w1_wst.txt,t7x_a3_w1_wst.mat,1,ok
muse_z_k024_t7x_a3_w3,t7x_a3_w3,z,24,trajectories/t7x_a3_w3/z/aligned_quaternions.csv,trajectories/t7x_a3_w3/z/aligned_quaternions.mat,1621,1621,0,1,12.96,125,t7x_a3_w3_wst.txt,t7x_a3_w3_wst.mat,1,ok
muse_z_k025_t7y_a1_w1,t7y_a1_w1,z,25,trajectories/t7y_a1_w1/z/aligned_quaternions.csv,trajectories/t7y_a1_w1/z/aligned_quaternions.mat,2651,2651,0,1,21.2,125,t7y_a1_w1_wst.txt,t7y_a1_w1_wst.mat,1,ok
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,trajectories/t7y_a1_w3/z/aligned_quaternions.csv,trajectories/t7y_a1_w3/z/aligned_quaternions.mat,2967,2967,0,1,23.728,125,t7y_a1_w3_wst.txt,t7y_a1_w3_wst.mat,1,ok
muse_z_k027_t7y_a3_w1,t7y_a3_w1,z,27,trajectories/t7y_a3_w1/z/aligned_quaternions.csv,trajectories/t7y_a3_w1/z/aligned_quaternions.mat,1649,1649,0,1,13.184,125,t7y_a3_w1_wst.txt,t7y_a3_w1_wst.mat,1,ok
muse_z_k028_t7y_a3_w3,t7y_a3_w3,z,28,trajectories/t7y_a3_w3/z/aligned_quaternions.csv,trajectories/t7y_a3_w3/z/aligned_quaternions.mat,1700,1700,0,1,13.592,125,t7y_a3_w3_wst.txt,t7y_a3_w3_wst.mat,1,ok
